pressure,height,temperature,dewpoint,direction,speed,u_wind,v_wind,station,station_number,time,latitude,longitude,elevation,pw,date
981.0,301.0,25.8,25.5,194.0,7.0,1.6934532691976725,6.792070083931975,96147,96147,2025-06-01,3.95,108.38,2.0,59.26,2025-06-01
925.0,819.0,23.6,17.6,190.0,14.0,2.4310744873370265,13.787308542170912,96147,96147,2025-06-01,3.95,108.38,2.0,59.26,2025-06-01
916.0,904.0,23.2,16.2,194.0,14.0,3.386906538395345,13.58414016786395,96147,96147,2025-06-01,3.95,108.38,2.0,59.26,2025-06-01
873.0,1323.0,20.8,16.2,214.0,17.0,9.506279359002693,14.09363873343571,96147,96147,2025-06-01,3.95,108.38,2.0,59.26,2025-06-01
850.0,1554.0,20.6,12.6,225.0,18.0,12.727922061357855,12.727922061357859,96147,96147,2025-06-01,3.95,108.38,2.0,59.26,2025-06-01
821.0,1854.0,19.0,9.0,225.0,22.0,15.556349186104043,15.556349186104049,96147,96147,2025-06-01,3.95,108.38,2.0,59.26,2025-06-01
820.0,1864.0,18.9,9.0,225.0,22.0,15.556349186104043,15.556349186104049,96147,96147,2025-06-01,3.95,108.38,2.0,59.26,2025-06-01
798.0,2097.0,17.0,10.0,229.0,20.0,15.09419160445544,13.121180579810146,96147,96147,2025-06-01,3.95,108.38,2.0,59.26,2025-06-01
700.0,3202.0,9.4,7.9,250.0,11.0,10.336618828644992,3.762221576582354,96147,96147,2025-06-01,3.95,108.38,2.0,59.26,2025-06-01
636.0,3992.0,4.6,3.9,269.0,9.0,8.998629256407522,0.15707165793555147,96147,96147,2025-06-01,3.95,108.38,2.0,59.26,2025-06-01
620.0,4200.0,4.0,3.0,274.0,9.0,8.978076452338419,-0.627808263697127,96147,96147,2025-06-01,3.95,108.38,2.0,59.26,2025-06-01
618.0,4226.0,3.9,2.8,275.0,9.0,8.96575228282571,-0.784401684728921,96147,96147,2025-06-01,3.95,108.38,2.0,59.26,2025-06-01
591.0,4587.0,2.0,0.5,140.0,2.0,-1.285575219373079,1.5320888862379558,96147,96147,2025-06-01,3.95,108.38,2.0,59.26,2025-06-01
563.0,4979.0,0.0,-2.0,68.0,8.0,-7.417470836534299,-2.9968527473272957,96147,96147,2025-06-01,3.95,108.38,2.0,59.26,2025-06-01
562.0,4993.0,-0.1,-2.5,65.0,8.0,-7.2504622962931995,-3.3809460939255955,96147,96147,2025-06-01,3.95,108.38,2.0,59.26,2025-06-01
550.0,5166.0,-0.9,-7.9,67.0,9.0,-8.284543681071963,-3.5165801564034633,96147,96147,2025-06-01,3.95,108.38,2.0,59.26,2025-06-01
526.0,5520.0,-2.9,-11.9,71.0,11.0,-10.400704331592484,-3.5812496990287244,96147,96147,2025-06-01,3.95,108.38,2.0,59.26,2025-06-01
500.0,5920.0,-5.5,-10.5,75.0,13.0,-12.557035741757888,-3.3646475863327696,96147,96147,2025-06-01,3.95,108.38,2.0,59.26,2025-06-01
486.0,6143.0,-7.1,-11.0,79.0,15.0,-14.72440775171496,-2.862134930648174,96147,96147,2025-06-01,3.95,108.38,2.0,59.26,2025-06-01
459.0,6587.0,-9.7,-11.1,88.0,19.0,-18.98842571336282,-0.6630904373475205,96147,96147,2025-06-01,3.95,108.38,2.0,59.26,2025-06-01
438.0,6948.0,-11.9,-14.5,95.0,22.0,-21.9162833580184,1.9174263404484813,96147,96147,2025-06-01,3.95,108.38,2.0,59.26,2025-06-01
431.0,7072.0,-12.7,-15.7,91.0,23.0,-22.996496988597,0.40140534805752,96147,96147,2025-06-01,3.95,108.38,2.0,59.26,2025-06-01
413.0,7397.0,-13.7,-23.7,80.0,25.0,-24.6201938253052,-4.34120444167326,96147,96147,2025-06-01,3.95,108.38,2.0,59.26,2025-06-01
405.0,7546.0,-14.9,-21.3,75.0,26.0,-25.114071483515776,-6.729295172665539,96147,96147,2025-06-01,3.95,108.38,2.0,59.26,2025-06-01
400.0,7640.0,-15.7,-19.8,80.0,27.0,-26.589809331329615,-4.688500797007121,96147,96147,2025-06-01,3.95,108.38,2.0,59.26,2025-06-01
382.0,7986.0,-17.7,-26.7,83.0,29.0,-28.783838397598338,-3.534210958749277,96147,96147,2025-06-01,3.95,108.38,2.0,59.26,2025-06-01
368.0,8265.0,-19.9,-24.9,86.0,30.0,-29.926921507794727,-2.092694212323757,96147,96147,2025-06-01,3.95,108.38,2.0,59.26,2025-06-01
344.0,8762.0,-23.9,-31.9,90.0,33.0,-33.0,-2.0206672185931327e-15,96147,96147,2025-06-01,3.95,108.38,2.0,59.26,2025-06-01
326.0,9153.0,-25.9,-26.4,94.0,35.0,-34.91474175909385,2.4414765810443866,96147,96147,2025-06-01,3.95,108.38,2.0,59.26,2025-06-01
300.0,9750.0,-30.5,-31.3,100.0,38.0,-37.42269461446391,6.598630751343352,96147,96147,2025-06-01,3.95,108.38,2.0,59.26,2025-06-01
279.0,10262.0,-34.1,-37.4,106.0,38.0,-36.52794444565612,10.474219521045963,96147,96147,2025-06-01,3.95,108.38,2.0,59.26,2025-06-01
267.0,10565.0,-36.4,-39.8,110.0,38.0,-35.70831958986452,12.996765446375411,96147,96147,2025-06-01,3.95,108.38,2.0,59.26,2025-06-01
250.0,11020.0,-39.9,-43.3,95.0,43.0,-42.83637201794506,3.747696938149304,96147,96147,2025-06-01,3.95,108.38,2.0,59.26,2025-06-01
242.0,11241.0,-41.1,-45.3,92.0,45.0,-44.972587215859306,1.570477351612543,96147,96147,2025-06-01,3.95,108.38,2.0,59.26,2025-06-01
226.0,11699.0,-45.5,-48.1,86.0,48.0,-47.88307441247156,-3.348310739718011,96147,96147,2025-06-01,3.95,108.38,2.0,59.26,2025-06-01
200.0,12500.0,-51.5,-58.5,75.0,54.0,-52.15999461960969,-13.97622843553612,96147,96147,2025-06-01,3.95,108.38,2.0,59.26,2025-06-01
190.0,12824.0,-54.2,-61.2,80.0,54.0,-53.17961866265923,-9.377001594014242,96147,96147,2025-06-01,3.95,108.38,2.0,59.26,2025-06-01
156.0,14071.0,-64.5,-71.5,97.0,47.0,-46.64966912714214,5.727859140041926,96147,96147,2025-06-01,3.95,108.38,2.0,59.26,2025-06-01
150.0,14310.0,-66.5,-71.3,100.0,45.0,-44.31634888554936,7.814167995011863,96147,96147,2025-06-01,3.95,108.38,2.0,59.26,2025-06-01
143.0,14596.0,-69.3,-72.2,100.0,46.0,-45.30115663856157,7.987816172678794,96147,96147,2025-06-01,3.95,108.38,2.0,59.26,2025-06-01
136.0,14893.0,-71.5,-75.8,100.0,47.0,-46.28596439157378,8.161464350345724,96147,96147,2025-06-01,3.95,108.38,2.0,59.26,2025-06-01
133.0,15023.0,-72.1,-76.8,100.0,47.0,-46.28596439157378,8.161464350345724,96147,96147,2025-06-01,3.95,108.38,2.0,59.26,2025-06-01
123.0,15480.0,-74.3,-80.3,87.0,35.0,-34.952033716410085,-1.8317584685030388,96147,96147,2025-06-01,3.95,108.38,2.0,59.26,2025-06-01
115.0,15864.0,-76.6,-82.6,75.0,25.0,-24.148145657226706,-6.4704761275630185,96147,96147,2025-06-01,3.95,108.38,2.0,59.26,2025-06-01
